pixel_id,latitude_x,longitude_y,amplitude_onda,curvatura_ricci
174,5,14,254.0,0.0
175,5,15,254.0,0.9453027
176,5,16,254.0,2.2213256
177,5,17,254.0,0.0
178,5,18,254.0,0.0
179,5,19,254.0,0.0
180,5,20,254.0,0.0
181,5,21,254.0,0.0
182,5,22,254.0,0.0
183,5,23,254.0,0.0
184,5,24,254.0,0.0
185,5,25,254.0,0.0
186,5,26,254.0,0.0
187,5,27,254.0,0.0
188,5,28,254.0,0.0
189,5,29,254.0,0.0
190,5,30,254.0,0.0
191,5,31,254.0,0.0
192,6,0,254.0,0.0
193,6,1,254.0,0.0
194,6,2,254.0,0.0
195,6,3,254.0,0.0
196,6,4,254.0,0.0
197,6,5,254.0,0.0
198,6,6,254.0,0.0
199,6,7,254.0,0.0
200,6,8,254.0,0.0
201,6,9,254.0,0.0
202,6,10,254.0,0.0
203,6,11,254.0,0.0
204,6,12,254.0,0.0
205,6,13,254.0,0.0
206,6,14,254.0,0.0
207,6,15,254.0,0.0
208,6,16,254.0,0.0
209,6,17,254.0,0.0
210,6,18,254.0,0.0
211,6,19,254.0,0.0
212,6,20,254.0,0.0
213,6,21,254.0,0.0
214,6,22,254.0,0.0
215,6,23,254.0,0.0
216,6,24,254.0,0.0
217,6,25,254.0,0.0
218,6,26,254.0,0.0
219,6,27,254.0,0.0
220,6,28,254.0,0.0
221,6,29,254.0,0.0
222,6,30,254.0,0.0
223,6,31,254.0,0.0
224,7,0,254.0,0.0
225,7,1,254.0,0.0
226,7,2,254.0,0.0
227,7,3,254.0,0.0
228,7,4,254.0,0.0
229,7,5,254.0,0.30791163
230,7,6,254.0,0.08125949
231,7,7,254.0,0.0
232,7,8,254.0,0.0
233,7,9,254.0,0.0
234,7,10,254.0,0.0
235,7,11,254.0,0.0
236,7,12,254.0,0.0
237,7,13,254.0,0.0
238,7,14,254.0,0.0
239,7,15,254.0,2.2648313
240,7,16,254.0,2.2213256
241,7,17,254.0,0.0
242,7,18,254.0,0.0
243,7,19,254.0,0.0
244,7,20,254.0,0.0
245,7,21,254.0,0.0
246,7,22,254.0,0.0
247,7,23,254.0,0.0
248,7,24,254.0,0.0
249,7,25,254.0,0.0
250,7,26,254.0,0.0
251,7,27,254.0,0.0
252,7,28,254.0,0.0
253,7,29,254.0,0.0
254,7,30,254.0,0.0
255,7,31,254.0,0.0
256,8,0,254.0,0.0
257,8,1,254.0,0.0
258,8,2,254.0,0.0
259,8,3,254.0,0.0
260,8,4,254.0,0.30791163
261,8,5,136.75,0.3255296
262,8,6,215.75,0.31966773
263,8,7,254.0,0.08125949
264,8,8,254.0,0.0
265,8,9,254.0,0.0
266,8,10,254.0,0.0
267,8,11,254.0,0.0
268,8,12,254.0,0.0
269,8,13,254.0,2.490824
270,8,14,254.0,2.264839
271,8,15,1.75,2.2213256
272,8,16,2.0,2.2648313
273,8,17,254.0,2.2213256
274,8,18,254.0,2.0471723
275,8,19,254.0,0.0
276,8,20,254.0,0.0
277,8,21,254.0,0.0
278,8,22,254.0,0.0
279,8,23,254.0,0.0
280,8,24,254.0,0.0
281,8,25,254.0,0.0
282,8,26,254.0,0.0
283,8,27,254.0,0.0
284,8,28,254.0,0.0
285,8,29,254.0,0.0
286,8,30,254.0,0.0
287,8,31,254.0,0.0
288,9,0,254.0,0.0
289,9,1,254.0,0.0
290,9,2,254.0,0.0
291,9,3,254.0,0.0
292,9,4,254.0,0.3152244
293,9,5,134.75,0.31966773
294,9,6,213.75,0.3255296
295,9,7,254.0,0.085894585
296,9,8,254.0,0.0
297,9,9,254.0,0.0
298,9,10,254.0,0.0
299,9,11,254.0,0.3320799
300,9,12,254.0,2.490824
301,9,13,0.75,0.005937599
302,9,14,251.0,2.490824
303,9,15,254.0,2.264839
304,9,16,254.0,2.2213256
305,9,17,254.0,2.0471723
306,9,18,3.25,0.0
307,9,19,254.0,2.0471723
308,9,20,254.0,0.000490427
309,9,21,254.0,0.0
310,9,22,254.0,0.0
311,9,23,254.0,0.0009813309
312,9,24,254.0,0.0
313,9,25,254.0,0.0
314,9,26,254.0,0.0
315,9,27,254.0,0.0
316,9,28,254.0,0.0
317,9,29,254.0,0.0
318,9,30,254.0,0.0
319,9,31,254.0,0.0
320,10,0,254.0,0.0
321,10,1,254.0,0.0
322,10,2,254.0,0.0
323,10,3,254.0,0.0
324,10,4,254.0,0.0
325,10,5,254.0,0.3152244
326,10,6,254.0,0.085894585
327,10,7,254.0,0.0
328,10,8,254.0,0.0
329,10,9,254.0,2.2213256
330,10,10,254.0,2.2890475
331,10,11,130.25,1.7155252
332,10,12,254.0,0.33158946
333,10,13,253.75,2.490824
334,10,14,254.0,0.005937599
335,10,15,254.0,0.0
336,10,16,254.0,0.0
337,10,17,254.0,0.0
338,10,18,254.0,2.0471723
339,10,19,254.0,0.000490427
340,10,20,253.75,0.0
341,10,21,254.0,2.2213256
342,10,22,254.0,2.1442506
343,10,23,253.5,0.0
344,10,24,254.0,0.0009813309
345,10,25,254.0,0.0
346,10,26,254.0,0.0
347,10,27,254.0,0.0
348,10,28,254.0,0.0
349,10,29,254.0,0.0
350,10,30,254.0,0.0
351,10,31,254.0,0.0
352,11,0,254.0,0.0
353,11,1,254.0,0.0
354,11,2,254.0,0.0
355,11,3,254.0,0.0
356,11,4,254.0,0.0
357,11,5,254.0,0.0
358,11,6,254.0,0.0
359,11,7,254.0,0.0
360,11,8,254.0,2.2213256
361,11,9,2.0,2.2648313
362,11,10,1.75,0.5058005
363,11,11,7.25,2.2890475
364,11,12,254.0,1.7155252
365,11,13,254.0,0.000490427
366,11,14,254.0,0.0
367,11,15,254.0,0.0
368,11,16,254.0,0.0
369,11,17,254.0,0.0
370,11,18,254.0,0.0
371,11,19,254.0,0.0
372,11,20,254.0,2.2213256
373,11,21,2.0,2.1442504
374,11,22,2.5,2.2213256
375,11,23,254.0,2.1442506
376,11,24,254.0,0.0
377,11,25,254.0,0.0
378,11,26,254.0,0.0
379,11,27,254.0,0.0
380,11,28,254.0,0.0
